# This file was exported by Greenbyte at 2022-02-01 13:16:19. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Penmanshiel 01
# Turbine type: Senvion MM82 (Senvion MM82 kW)
# Time zone: UTC
# Time interval: 2016-01-01 00:00:00 - 2017-01-01 00:00:00 (366 days)
#
# Penmanshiel 01 Sum production: 2614804 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category
2016-06-10 13:02:44,2016-06-10 13:02:50,00:00:06,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 13:02:44,2016-06-10 13:02:50,00:00:06,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 13:02:57,2016-06-10 14:01:35,00:58:38,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 13:02:57,2016-06-10 14:01:35,00:58:38,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 13:19:17,2016-06-10 16:28:09,03:08:52,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-10 13:31:18,2016-06-10 14:02:46,00:31:28,Warning,2125,Timeout brake closed,,Warnings (27),
2016-06-10 13:31:18,2016-06-10 14:02:46,00:31:28,Warning,2125,Timeout brake closed,,Warnings (27),
2016-06-10 14:09:13,2016-06-10 14:09:22,00:00:09,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 14:09:13,2016-06-10 14:09:22,00:00:09,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 14:11:47,2016-06-10 14:16:46,00:04:59,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 14:11:47,2016-06-10 14:16:46,00:04:59,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 16:31:54,2016-06-10 17:24:42,00:52:48,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-10 17:28:22,2016-06-10 17:38:31,00:10:09,Stop,420,Test brake program 52,,Warnings (27),
2016-06-10 17:42:49,2016-06-10 17:45:05,00:02:16,Stop,418,Test brake program 60,,Warnings (27),Technical Standby
2016-06-10 17:51:13,2016-06-10 17:54:57,00:03:44,Stop,414,Test brake program 180,,Warnings (27),Technical Standby
2016-06-10 17:58:15,2016-06-10 18:00:06,00:01:51,Stop,416,Test brake program 75,,Warnings (27),
2016-06-10 18:02:19,2016-06-11 08:54:10,14:51:51,Stop,100,Safety chain open,,Safety chain (13),Forced outage
2016-06-10 18:19:15,2016-06-10 18:19:58,00:00:43,Warning,3220,Reduced power converter,,Warnings (27),
2016-06-10 18:19:15,2016-06-10 18:19:58,00:00:43,Warning,3220,Reduced power converter,,Warnings (27),
2016-06-10 18:24:50,2016-06-10 18:24:56,00:00:06,Informational,0,System OK,,System OK (32),Full Performance
2016-06-10 18:24:50,2016-06-10 18:24:56,00:00:06,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 01:34:01,-,-,Warning,7324,Check time synchronization,,Warnings (27),
2016-06-11 01:34:01,-,-,Warning,7324,Check time synchronization,,Warnings (27),
2016-06-11 08:16:18,2016-06-11 08:17:18,00:01:00,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 08:16:18,2016-06-11 08:17:18,00:01:00,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 08:54:10,2016-06-11 08:56:07,00:01:57,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 08:54:10,2016-06-11 08:56:07,00:01:57,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 08:56:07,2016-06-11 08:57:46,00:01:39,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-11 08:57:46,2016-06-11 09:06:00,00:08:14,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 08:57:46,2016-06-11 09:06:00,00:08:14,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 09:06:00,2016-06-11 09:06:38,00:00:38,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-11 09:06:38,2016-06-11 09:11:11,00:04:33,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 09:06:38,2016-06-11 09:11:11,00:04:33,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 09:11:11,2016-06-16 07:46:34,118:35:23,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-11 09:15:09,2016-06-11 09:15:58,00:00:49,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 09:15:09,2016-06-11 09:15:58,00:00:49,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 09:18:23,2016-06-11 09:19:08,00:00:45,Informational,0,System OK,,System OK (32),Full Performance
2016-06-11 09:18:23,2016-06-11 09:19:08,00:00:45,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 07:46:34,2016-06-16 07:51:14,00:04:40,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 07:46:34,2016-06-16 07:51:14,00:04:40,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 07:51:14,2016-06-16 07:51:46,00:00:32,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2016-06-16 07:51:14,2016-06-16 07:51:46,00:00:32,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2016-06-16 07:51:40,2016-06-16 07:52:26,00:00:46,Stop,3210,Frequency converter load rejection,,Generator and Converter errors (20),Forced outage
2016-06-16 07:52:26,2016-06-16 07:56:36,00:04:10,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 07:52:26,2016-06-16 07:56:36,00:04:10,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 07:56:36,2016-06-16 08:03:30,00:06:54,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2016-06-16 07:56:36,2016-06-16 08:03:30,00:06:54,Informational,1552,Gearbox warm-up stage,,Operating states  (28),Full Performance
2016-06-16 08:03:30,2016-06-16 08:04:19,00:00:49,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 08:03:30,2016-06-16 08:04:19,00:00:49,Informational,0,System OK,,System OK (32),Full Performance
2016-06-16 08:04:19,2016-06-16 08:05:04,00:00:45,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-16 08:04:42,2016-06-20 12:14:19,100:09:37,Informational,245,Parameterized P red.,,Operating states  (28),
2016-06-16 08:04:42,2016-06-20 12:14:19,100:09:37,Informational,245,Parameterized P red.,,Operating states  (28),
2016-06-16 08:16:28,2016-06-16 08:17:41,00:01:13,Stop,117,Emergency stop base box,,Emergency stop switch (Converter) (12),Forced outage
2016-06-16 15:36:54,2016-06-16 17:45:52,02:08:58,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-18 12:41:39,2016-06-18 12:42:26,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 12:41:39,2016-06-18 12:42:26,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 13:02:17,2016-06-18 13:03:05,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 13:02:17,2016-06-18 13:03:05,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 15:45:01,2016-06-18 15:45:49,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 15:45:01,2016-06-18 15:45:49,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 18:12:57,2016-06-18 18:13:44,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-18 18:12:57,2016-06-18 18:13:44,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-19 01:32:18,2016-06-19 01:33:06,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-19 01:32:18,2016-06-19 01:33:06,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-19 05:28:31,2016-06-19 05:29:19,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-19 05:28:31,2016-06-19 05:29:19,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-20 12:14:19,2016-06-20 14:48:28,02:34:09,Informational,0,System OK,,System OK (32),Full Performance
2016-06-20 12:14:19,2016-06-20 14:48:28,02:34:09,Informational,0,System OK,,System OK (32),Full Performance
2016-06-20 14:48:28,2016-06-20 14:50:53,00:02:25,Warning,1922,Particle Gear Alarm 10min,,Warnings (27),
2016-06-20 14:48:28,2016-06-20 14:50:53,00:02:25,Warning,1922,Particle Gear Alarm 10min,,Warnings (27),
2016-06-20 14:50:06,2016-06-20 14:50:58,00:00:52,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-20 14:50:58,2016-06-20 23:03:06,08:12:08,Informational,0,System OK,,System OK (32),Full Performance
2016-06-20 14:50:58,2016-06-20 23:03:06,08:12:08,Informational,0,System OK,,System OK (32),Full Performance
2016-06-20 23:03:06,2016-06-20 23:03:54,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-20 23:03:06,2016-06-20 23:03:54,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-20 23:03:54,2016-06-21 08:26:56,09:23:02,Informational,0,System OK,,System OK (32),Full Performance
2016-06-20 23:03:54,2016-06-21 08:26:56,09:23:02,Informational,0,System OK,,System OK (32),Full Performance
2016-06-21 08:26:56,2016-06-21 11:36:48,03:09:52,Stop,3500,Grid loss,,External stop (grid) (4),Out of Electrical Specification
2016-06-21 08:26:56,2016-06-21 08:26:56,00:00:00,Informational,3543,High frequency - P reduction,,Warnings (27),Full Performance
2016-06-21 08:26:56,2016-06-21 08:26:56,00:00:00,Informational,3591,Transient voltage peak,,Warnings (27),Full Performance
2016-06-21 08:26:56,2016-06-21 08:26:56,00:00:00,Informational,3543,High frequency - P reduction,,Warnings (27),Full Performance
2016-06-21 08:26:56,2016-06-21 08:26:56,00:00:00,Informational,3591,Transient voltage peak,,Warnings (27),Full Performance
2016-06-21 11:36:48,2016-06-22 14:48:01,27:11:13,Informational,0,System OK,,System OK (32),Full Performance
2016-06-21 11:36:48,2016-06-22 14:48:01,27:11:13,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 14:44:54,2016-06-22 14:49:54,00:05:00,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-22 14:49:54,2016-06-22 15:22:15,00:32:21,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 14:49:54,2016-06-22 15:22:15,00:32:21,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:22:15,2016-06-22 15:22:26,00:00:11,Warning,9000,P output externally reduced,,Warnings (27),Partial Performance
2016-06-22 15:22:15,2016-06-22 15:22:26,00:00:11,Warning,9000,P output externally reduced,,Warnings (27),Partial Performance
2016-06-22 15:22:26,2016-06-22 15:33:46,00:11:20,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:22:26,2016-06-22 15:33:46,00:11:20,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:33:46,2016-06-22 15:34:05,00:00:19,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 15:33:46,2016-06-22 15:34:05,00:00:19,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 15:34:05,2016-06-22 15:35:25,00:01:20,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:34:05,2016-06-22 15:35:25,00:01:20,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:35:25,2016-06-22 15:35:53,00:00:28,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 15:35:25,2016-06-22 15:35:53,00:00:28,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 15:35:53,2016-06-22 15:41:24,00:05:31,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:35:53,2016-06-22 15:41:24,00:05:31,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:41:24,2016-06-22 15:42:21,00:00:57,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 15:41:24,2016-06-22 15:42:21,00:00:57,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 15:42:21,2016-06-22 16:14:56,00:32:35,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 15:42:21,2016-06-22 16:14:56,00:32:35,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 16:14:56,2016-06-22 16:15:49,00:00:53,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 16:14:56,2016-06-22 16:15:49,00:00:53,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-22 16:15:49,2016-06-23 01:49:49,09:34:00,Informational,0,System OK,,System OK (32),Full Performance
2016-06-22 16:15:49,2016-06-23 01:49:49,09:34:00,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 01:49:49,2016-06-23 01:50:37,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 01:49:49,2016-06-23 01:50:37,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 01:50:37,2016-06-23 04:21:55,02:31:18,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 01:50:37,2016-06-23 04:21:55,02:31:18,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 04:21:55,2016-06-23 04:22:42,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 04:21:55,2016-06-23 04:22:42,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 04:22:42,2016-06-23 09:29:02,05:06:20,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 04:22:42,2016-06-23 09:29:02,05:06:20,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 09:29:02,2016-06-23 09:29:49,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 09:29:02,2016-06-23 09:29:49,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 09:29:49,2016-06-23 09:48:24,00:18:35,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 09:29:49,2016-06-23 09:48:24,00:18:35,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 09:48:24,2016-06-23 09:49:11,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 09:48:24,2016-06-23 09:49:11,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 09:49:11,2016-06-23 09:56:03,00:06:52,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 09:49:11,2016-06-23 09:56:03,00:06:52,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 09:56:03,2016-06-23 09:56:51,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 09:56:03,2016-06-23 09:56:51,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 09:56:51,2016-06-23 10:23:37,00:26:46,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 09:56:51,2016-06-23 10:23:37,00:26:46,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 10:23:37,2016-06-23 10:24:24,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 10:23:37,2016-06-23 10:24:24,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 10:24:24,2016-06-23 10:33:03,00:08:39,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 10:24:24,2016-06-23 10:33:03,00:08:39,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 10:33:03,2016-06-23 10:33:50,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 10:33:03,2016-06-23 10:33:50,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-23 10:33:50,2016-06-24 03:37:15,17:03:25,Informational,0,System OK,,System OK (32),Full Performance
2016-06-23 10:33:50,2016-06-24 03:37:15,17:03:25,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 03:37:15,2016-06-24 03:38:03,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 03:37:15,2016-06-24 03:38:03,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 03:38:03,2016-06-24 04:17:06,00:39:03,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 03:38:03,2016-06-24 04:17:06,00:39:03,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 04:17:06,2016-06-24 04:17:53,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 04:17:06,2016-06-24 04:17:53,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 04:17:53,2016-06-24 05:20:05,01:02:12,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 04:17:53,2016-06-24 05:20:05,01:02:12,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 05:20:05,2016-06-24 05:20:53,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 05:20:05,2016-06-24 05:20:53,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 05:20:53,2016-06-24 06:14:01,00:53:08,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 05:20:53,2016-06-24 06:14:01,00:53:08,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 06:14:01,2016-06-24 06:14:48,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 06:14:01,2016-06-24 06:14:48,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 06:14:48,2016-06-24 07:32:23,01:17:35,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 06:14:48,2016-06-24 07:32:23,01:17:35,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 07:32:23,2016-06-24 07:33:10,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 07:32:23,2016-06-24 07:33:10,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 07:33:10,2016-06-24 09:00:42,01:27:32,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 07:33:10,2016-06-24 09:00:42,01:27:32,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 09:00:42,2016-06-24 09:12:33,00:11:51,Stop,6200,Cable autounwind,,Operating states  (28),Technical Standby
2016-06-24 09:12:33,2016-06-24 10:11:21,00:58:48,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 09:12:33,2016-06-24 10:11:21,00:58:48,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 10:11:21,2016-06-24 10:12:09,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 10:11:21,2016-06-24 10:12:09,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 10:12:09,2016-06-24 10:40:36,00:28:27,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 10:12:09,2016-06-24 10:40:36,00:28:27,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 10:40:36,2016-06-24 10:41:24,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 10:40:36,2016-06-24 10:41:24,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 10:41:24,2016-06-24 11:44:39,01:03:15,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 10:41:24,2016-06-24 11:44:39,01:03:15,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 11:44:39,2016-06-24 11:45:26,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 11:44:39,2016-06-24 11:45:26,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 11:45:26,2016-06-24 12:14:32,00:29:06,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 11:45:26,2016-06-24 12:14:32,00:29:06,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 12:14:32,2016-06-24 12:15:19,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 12:14:32,2016-06-24 12:15:19,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 12:15:19,2016-06-24 12:34:04,00:18:45,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 12:15:19,2016-06-24 12:34:04,00:18:45,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 12:34:04,2016-06-24 12:34:52,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 12:34:04,2016-06-24 12:34:52,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 12:34:52,2016-06-24 12:53:30,00:18:38,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 12:34:52,2016-06-24 12:53:30,00:18:38,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 12:53:30,2016-06-24 12:54:17,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 12:53:30,2016-06-24 12:54:17,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 12:54:17,2016-06-24 14:11:40,01:17:23,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 12:54:17,2016-06-24 14:11:40,01:17:23,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 14:11:40,2016-06-24 14:16:50,00:05:10,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-24 14:11:40,2016-06-24 14:16:50,00:05:10,Warning,8400,Comm. failure FPM,,Warnings (27),Full Performance
2016-06-24 14:16:50,2016-06-24 15:41:07,01:24:17,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 14:16:50,2016-06-24 15:41:07,01:24:17,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 15:41:07,2016-06-24 15:41:54,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 15:41:07,2016-06-24 15:41:54,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 15:41:54,2016-06-24 16:31:07,00:49:13,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 15:41:54,2016-06-24 16:31:07,00:49:13,Informational,0,System OK,,System OK (32),Full Performance
2016-06-24 16:31:07,2016-06-24 16:31:55,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 16:31:07,2016-06-24 16:31:55,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2016-06-24 16:31:55,2016-06-24 18:45:53,02:13:58,Informational,0,System OK,,System OK (32),Full Performance
