# This file was exported by Greenbyte at 2022-02-01 13:16:19. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Penmanshiel 01
# Turbine type: Senvion MM82 (Senvion MM82 kW)
# Time zone: UTC
# Time interval: 2016-01-01 00:00:00 - 2017-01-01 00:00:00 (366 days)
#
# Penmanshiel 01 Sum production: 2614804 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category
2016-06-06 17:08:40,2016-06-10 11:28:00,90:19:20,Stop,3500,Grid loss,,External stop (grid) (4),Out of Electrical Specification
2016-06-06 17:08:41,2016-06-06 18:14:07,01:05:26,Warning,3875,Overload transf. fan inlet air,,Warnings (27),
2016-06-06 17:08:41,2016-06-06 18:14:39,01:05:58,Warning,1825,Overload gear bypass filter,,Warnings (27),
2016-06-06 17:08:41,2016-06-06 18:14:07,01:05:26,Warning,3875,Overload transf. fan inlet air,,Warnings (27),
2016-06-06 17:08:41,2016-06-06 18:14:39,01:05:58,Warning,1825,Overload gear bypass filter,,Warnings (27),
2016-06-06 17:08:52,2016-06-06 18:15:02,01:06:10,Warning,8402,No assignment to a PMU,,Warnings (27),
2016-06-06 17:08:52,2016-06-06 18:15:02,01:06:10,Warning,8402,No assignment to a PMU,,Warnings (27),
2016-06-08 01:34:01,2016-06-11 00:56:54,71:22:53,Warning,7324,Check time synchronization,,Warnings (27),
2016-06-08 01:34:01,2016-06-11 00:56:54,71:22:53,Warning,7324,Check time synchronization,,Warnings (27),
2016-06-10 11:28:00,2016-06-10 11:30:53,00:02:53,Informational,0,System OK,,System OK (32),Full Performance
2016-06-10 11:28:00,2016-06-10 11:30:53,00:02:53,Informational,0,System OK,,System OK (32),Full Performance
2016-06-10 11:30:53,2016-06-10 11:33:05,00:02:12,Warning,5720,Brake accumulator defect,,Warnings (27),
2016-06-10 11:30:53,2016-06-10 11:57:04,00:26:11,Stop,2100,Feedback brake 1,,Mechanical error (23),Forced outage
2016-06-10 11:30:53,2016-06-10 11:33:05,00:02:12,Warning,5720,Brake accumulator defect,,Warnings (27),
2016-06-10 11:33:05,2016-06-10 11:33:07,00:00:02,Informational,0,System OK,,System OK (32),Full Performance
2016-06-10 11:33:05,2016-06-10 11:33:07,00:00:02,Informational,0,System OK,,System OK (32),Full Performance
2016-06-10 11:33:13,2016-06-10 12:46:40,01:13:27,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 11:33:13,2016-06-10 12:46:40,01:13:27,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 11:34:58,2016-06-10 11:37:56,00:02:58,Warning,5100,Service obstacle light,,Warnings (27),
2016-06-10 11:34:58,2016-06-10 11:37:56,00:02:58,Warning,5100,Service obstacle light,,Warnings (27),
2016-06-10 11:58:23,2016-06-10 12:07:45,00:09:22,Stop,210,Manual brake,,Manual stop (service)  (9),Scheduled Maintenance
2016-06-10 12:01:01,2016-06-10 18:12:59,06:11:58,Informational,402,Semi-automatic operation,,Warnings (27),
2016-06-10 12:01:01,2016-06-10 18:12:59,06:11:58,Informational,402,Semi-automatic operation,,Warnings (27),
2016-06-10 12:12:15,2016-06-10 13:16:50,01:04:35,Stop,110,Emergency stop top box,,Emergency stop switch (Nacelle) (11),Forced outage
2016-06-10 12:55:32,2016-06-10 13:02:32,00:07:00,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
2016-06-10 12:55:32,2016-06-10 13:02:32,00:07:00,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance
